TRACK,TITLE,ARTIST,STARTTIME,ENDTIME,DURATION,VIDEOID
1,Suki dakara,Izumi Katou,00:30:19,00:34:13,234,N0KNZ9MblJ8
2,Lum no Love Song,Yuko Matsutani,00:43:20,00:45:59,159,N0KNZ9MblJ8
3,I Touch Myself,Divinyls,00:53:16,00:57:05,229,N0KNZ9MblJ8
4,Seikan Hikou,Ranka Lee (voiced / Megumi Nakajima),01:00:38,01:04:27,229,N0KNZ9MblJ8
5,Can We Be Skibidi (Seventeen brainrot version) written,stellapxv,01:28:31,01:30:25,114,N0KNZ9MblJ8
6,Graverobbin' Boys,Kaminari Clara,01:31:29,01:35:25,236,N0KNZ9MblJ8
7,Bye Bye Bye (Clara 2024 version),NSYNC,01:38:43,01:42:01,198,N0KNZ9MblJ8
8,Firework,Katy Perry,01:43:21,01:47:06,225,N0KNZ9MblJ8
9,My Way,Frank Sinatra,01:51:09,01:56:19,310,N0KNZ9MblJ8
10,A Whole New World,Lea Salonga & Brad Kane (Aladdin),02:01:00,02:03:39,159,N0KNZ9MblJ8
11,Con Te Partirò (Time To Say Goodbye),Andrea Bocelli,02:07:16,02:11:15,239,N0KNZ9MblJ8
12,Kaleidoscope,Chappell Roan,02:16:16,02:19:56,220,N0KNZ9MblJ8
13,CHA-LA HEAD-CHA-LA,Hironobu Kageyama,02:22:03,02:25:20,197,N0KNZ9MblJ8
