ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
854,Nl1SonzZQg8,1,What a Feeling (Flashdance),Irene Cara,00:18:40,1120,00:22:37,237
855,Nl1SonzZQg8,2,Call Me,Blondie (American Gigolo),00:23:34,1414,00:26:59,205
856,Nl1SonzZQg8,3,Picture You,Chappell Roan,00:31:04,1864,00:34:05,181
857,Nl1SonzZQg8,4,Genie In a Bottle,Christina Aguilera,00:37:16,2236,00:40:53,217
858,Nl1SonzZQg8,5,Fame,Irene Cara,00:44:41,2681,00:48:47,246
859,Nl1SonzZQg8,6,Ave Maria,Franz Schubert,00:49:26,2966,00:53:53,267
860,Nl1SonzZQg8,7,Judas,Lady Gaga,01:00:34,3634,01:04:41,247
861,Nl1SonzZQg8,8,素敵だね (Suteki Da Ne),Rikki (Final Fantasy X),01:05:06,3906,01:10:36,330
862,Nl1SonzZQg8,9,Dancing Queen,ABBA,01:18:41,4721,01:22:25,224
863,Nl1SonzZQg8,10,You’re Enough,The Carpenters,01:22:30,4950,01:26:07,217
864,Nl1SonzZQg8,11,ばかみたい Baka Mitai (I've Been a Fool),Takaya Kuroda (Yakuza),01:26:39,5199,01:31:26,287
865,Nl1SonzZQg8,12,Mayonaka no Door (Stay with Me),Miki Matsubara,01:33:57,5637,01:38:35,278
866,Nl1SonzZQg8,13,Ride on Time,Tatsuro Yamashita,01:39:28,5968,01:43:50,262
867,Nl1SonzZQg8,14,Poor Unfortunate Souls,Pat Carroll (The Little Mermaid),01:49:08,6548,01:52:51,223
868,Nl1SonzZQg8,15,Part of Your World,Jodi Benson (The Little Mermaid),01:53:56,6836,01:57:17,201
869,Nl1SonzZQg8,16,Wild Uncharted Waters,Jonah Hauer-King (The Little Mermaid 2023),01:59:55,7195,02:02:41,166
870,Nl1SonzZQg8,17,You Oughta Know,Alanis Morissette,02:11:24,7884,02:15:36,252
