TRACK,TITLE,ARTIST,STARTTIME,ENDTIME,DURATION,VIDEOID
1,Little Miss Perfect,Write Out Loud,00:06:26,00:09:42,196,OubUXAbbkec
2,"Good Luck, Babe!",Chappell Roan,00:16:13,00:19:46,213,OubUXAbbkec
3,Pink Pony Club,Chappell Roan,00:22:41,00:27:05,264,OubUXAbbkec
4,TiK ToK,Ke$ha,00:27:24,00:30:44,200,OubUXAbbkec
5,Born This Way,Lady Gaga,00:35:23,00:39:51,268,OubUXAbbkec
6,Goodbye Yellow Brick Road,Elton John,00:42:10,00:45:26,196,OubUXAbbkec
7,I Kissed A Girl,Katy Perry,00:48:48,00:51:47,179,OubUXAbbkec
8,Never Gonna Give You Up,Rick Astley,00:53:28,00:57:06,218,OubUXAbbkec
9,Tainted Love,Soft Cell,00:59:22,01:01:56,154,OubUXAbbkec
10,I Will Survive,Gloria Gaynor,01:02:31,01:07:31,300,OubUXAbbkec
11,It’s Raining Men,The Weather Girls,01:09:06,01:12:47,221,OubUXAbbkec
12,Y.M.C.A.,Village People,01:13:30,01:17:13,223,OubUXAbbkec
13,Bohemian Rhapsody,Queen,01:17:54,01:23:51,357,OubUXAbbkec
14,Sweet Transvestite,Tim Curry,01:25:11,01:28:30,199,OubUXAbbkec
15,Believe,Cher,01:28:48,01:32:49,241,OubUXAbbkec
16,Like a Prayer,Madonna,01:32:57,01:38:25,328,OubUXAbbkec
17,Magic Dance,David Bowie,01:41:03,01:45:08,245,OubUXAbbkec
18,One Of Your Girls,Troye Sivan,01:48:43,01:51:41,178,OubUXAbbkec
19,Cupid (Gay Version),Edd1e,01:52:40,01:55:31,171,OubUXAbbkec
20,Anal Beads,Pink Guy,01:59:00,02:00:43,103,OubUXAbbkec
21,Wicked Little Town,Stephen Trask,02:00:54,02:04:50,236,OubUXAbbkec
22,Part of Your World,Jodi Benson,02:05:07,02:08:15,188,OubUXAbbkec
