ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
980,OujDSnwErHU,1,E.T.,Katy Perry,00:09:18,558,00:12:46,208
981,OujDSnwErHU,2,Welcome to My Parents House,Ninja Sex Party,00:15:26,926,00:18:22,176
982,OujDSnwErHU,3,Say So,Doja Cat,00:21:02,1262,00:24:58,236
983,OujDSnwErHU,4,Cool Patrol,Ninja Sex Party,00:27:15,1635,00:30:31,196
984,OujDSnwErHU,5,When It All Falls Apart,The Veronicas,00:32:49,1969,00:36:19,210
985,OujDSnwErHU,6,Love Love Love,Dreams Come True,00:37:13,2233,00:40:34,201
986,OujDSnwErHU,7,Graverobbin' Boys,Kaminari Clara,00:42:50,2570,00:46:46,236
987,OujDSnwErHU,8,Pink Pony Club,Chappell Roan,00:47:45,2865,00:52:20,275
988,OujDSnwErHU,9,Build Me Up Buttercup,The Foundations,00:55:26,3326,00:58:28,182
989,OujDSnwErHU,10,Big Yellow Taxi,Joni Mitchell,01:00:53,3653,01:03:09,136
990,OujDSnwErHU,11,S'il suffisait d'aimer,Celine Dion,01:04:08,3848,01:07:41,213
991,OujDSnwErHU,12,I Have Nothing,Whitney Houston,01:08:37,4117,01:13:25,288
992,OujDSnwErHU,13,Suteki Da Ne,Final Fantasy X - RIKKI,01:15:07,4507,01:20:39,332
993,OujDSnwErHU,14,HOT TO GO!,Chappell Roan,01:27:10,5230,01:30:14,184
994,OujDSnwErHU,15,I Can't Make You Love Me,Bonnie Raitt,01:34:04,5644,01:39:25,321
995,OujDSnwErHU,16,Secret Base (Kimi ga Kureta Mono),Zone,01:40:41,6041,01:45:38,297
996,OujDSnwErHU,17,Holding Out for a Hero,Bonnie Tyler,01:48:52,6532,01:52:47,235
997,OujDSnwErHU,18,Who's Lovin' You,"The Miracles, The Jackson 5 et al",01:54:54,6894,01:58:54,240
998,OujDSnwErHU,19,Dango Daikazoku,Clannad - Chata,02:00:39,7239,02:05:10,271
999,OujDSnwErHU,20,Heart Boner,Ninja Sex Party,02:11:30,7890,02:15:37,247
1000,OujDSnwErHU,21,Cool,Gwen Stefani,02:18:16,8296,02:21:17,181
1001,OujDSnwErHU,22,Deliver Us,The Prince of Egypt,02:23:14,8594,02:27:38,264
1002,OujDSnwErHU,23,Close to You,Carpenters,02:28:23,8903,02:32:09,226
1003,OujDSnwErHU,24,When You Believe,The Prince of Egypt,02:34:11,9251,02:38:40,269
1004,OujDSnwErHU,25,Think of Me,Phantom of the Opera,02:39:23,9563,02:42:55,212
1005,OujDSnwErHU,26,Defying Gravity,Wicked,02:47:23,10043,02:51:38,255
1006,OujDSnwErHU,27,"New York, New York","Liza Minelli, Frank et al",02:52:57,10377,02:56:21,204
1007,OujDSnwErHU,28,Lady Marmalade,Moulin Rouge,02:57:46,10666,03:02:11,265
