TRACK,TITLE,ARTIST,STARTTIME,ENDTIME,DURATION,VIDEOID
1,The Way,Clay Aiken,00:08:54,00:12:57,243,WKWVeZDh1no
2,I Have Nothing,Whitney Houston,00:13:04,00:17:55,291,WKWVeZDh1no
3,My All,Mariah Carey,00:18:04,00:21:53,229,WKWVeZDh1no
4,Don't Stop Me Now,Queen (Clara meow version),00:27:15,00:30:54,219,WKWVeZDh1no
5,Xue Mao Jiao (Learn to Meow),Xiao Pan Pan & Xiao Feng Feng,00:31:16,00:34:43,207,WKWVeZDh1no
6,White Flag,Dido,00:34:57,00:38:31,214,WKWVeZDh1no
7,Nyan Cat,Hatsune Miku (daniwell),00:41:31,00:41:57,26,WKWVeZDh1no
8,Scatman,Scatman John,00:42:47,00:46:27,220,WKWVeZDh1no
9,I'm a Slave (Hag) 4 U,Britney Spears,00:46:55,00:50:19,204,WKWVeZDh1no
10,Piece of Me,Britney Spears,00:50:26,00:53:56,210,WKWVeZDh1no
11,Don't Cha,The Pussycat Dolls,00:58:07,01:01:42,215,WKWVeZDh1no
12,Clumsy,Fergie,01:01:57,01:05:51,234,WKWVeZDh1no
13,Moonlight Densetsu,DALI (Sailor Moon),01:06:44,01:09:35,171,WKWVeZDh1no
14,Kiss Me More,Doja Cat,01:14:05,01:17:36,211,WKWVeZDh1no
15,Feeling Good,Nina Simone,01:18:01,01:21:54,233,WKWVeZDh1no
16,Bumble Bee,Bambee,01:29:19,01:32:47,208,WKWVeZDh1no
17,APT.,ROSÉ & Bruno Mars,01:32:53,01:35:35,162,WKWVeZDh1no
18,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,01:35:45,01:40:36,291,WKWVeZDh1no
19,Bennie and the Jets,Elton John,01:40:48,01:44:43,235,WKWVeZDh1no
20,Girls Just Want To Have Fun,Cyndi Lauper,01:50:07,01:54:08,241,WKWVeZDh1no
