ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
231,aLB2LlKHe5A,1,Titanium,David Guetta,00:13:18,798,00:18:41,323
232,aLB2LlKHe5A,2,Moon River,Audrey Hepburn/Andy Williams/etc.,00:20:36,1236,00:24:10,214
233,aLB2LlKHe5A,3,We've Only Just Begun,The Carpenters,00:26:06,1566,00:29:07,181
234,aLB2LlKHe5A,4,Dream A Little Dream Of Me,The Mamas & The Papas,00:31:18,1878,00:34:48,210
235,aLB2LlKHe5A,5,Alfie,Lily Allen,00:39:44,2384,00:42:27,163
236,aLB2LlKHe5A,6,Too Sweet,Hozier,00:44:10,2650,00:48:17,247
237,aLB2LlKHe5A,7,Why Don't You Do Right?,Jessica Rabbit,00:50:07,3007,00:52:36,149
238,aLB2LlKHe5A,8,Every Breath You Take,The Police,00:54:23,3263,00:58:19,236
239,aLB2LlKHe5A,9,I Try,Macy Gray,01:00:05,3605,01:03:52,227
240,aLB2LlKHe5A,10,You Don't Know What Love Is,Chet Baker,01:05:30,3930,01:10:23,293
241,aLB2LlKHe5A,11,Misty,Ella Fitzgerald,01:12:12,4332,01:15:04,172
242,aLB2LlKHe5A,12,The Subway,Chappell Roan,01:17:24,4644,01:21:40,256
243,aLB2LlKHe5A,13,You're Still The One,Shania Twain,01:23:23,5003,01:26:37,194
244,aLB2LlKHe5A,14,Close to You,The Carpenters,01:27:45,5265,01:31:31,226
