TRACK,TITLE,ARTIST,STARTTIME,ENDTIME,DURATION,VIDEOID
1,Sailor Fuku wo Nugasanaide (セーラー服を脱がさないで),Onyanko Club,00:38:04,00:41:43,219,bzvX8eQQgdI
2,I Wanna Love You,Akon,00:44:03,00:48:19,256,bzvX8eQQgdI
3,Moonlight Densetsu (Sailor Moon OP),DALI,00:49:48,00:52:38,170,bzvX8eQQgdI
4,CARDCAPTORS ( Cardcaptor Sakura English OP),Dave Dore,00:53:28,00:54:16,48,bzvX8eQQgdI
5,Dragon Ball Z (Canadian English OP),Tom Keenlyside,00:54:44,00:55:47,63,bzvX8eQQgdI
6,Fu*% It (I Don’t Want You Back),Eamon,00:57:08,01:00:57,229,bzvX8eQQgdI
7,My Humps,Black Eyed Peas,01:01:14,01:05:00,226,bzvX8eQQgdI
8,It Wasn’t Me,Shaggy,01:06:24,01:10:03,219,bzvX8eQQgdI
9,WAP,Cardi B,01:11:26,01:14:35,189,bzvX8eQQgdI
10,Casual,Chappell Roan (dedicated to Uruka),01:16:03,01:19:49,226,bzvX8eQQgdI
11,CPR,CupcakKe,01:21:16,01:24:44,208,bzvX8eQQgdI
12,Let's Save the Earth,NSP,01:31:45,01:34:58,193,bzvX8eQQgdI
13,Milkshake,Kelis,01:36:46,01:39:47,181,bzvX8eQQgdI
14,XOXOY2K,Alaska Thunderfu*k,01:41:55,01:44:48,173,bzvX8eQQgdI
15,F*cked by a Country Boy,"Wheeler Walker, Jr.",01:51:57,01:54:29,152,bzvX8eQQgdI
16,Motherlover,The Lonely Island ft. Justin Timberlake,01:57:24,02:00:13,169,bzvX8eQQgdI
17,I Love You,Barney,02:01:00,02:01:38,38,bzvX8eQQgdI
18,I’m So Happy,Janne Da Arc,02:05:05,02:10:00,295,bzvX8eQQgdI
19,California,Chappell Roan,02:11:14,02:14:38,204,bzvX8eQQgdI
