TRACK,TITLE,ARTIST,STARTTIME,ENDTIME,DURATION,VIDEOID
1,How Do You Know It’s Not Armadillo Shells?,Hot Mulligan,01:26:48,01:29:28,160,e3A-dtHqZIk
2,A Change in Me,Susan Egan ( Beauty and the Beast),01:34:07,01:37:28,201,e3A-dtHqZIk
3,I'll Make a Man Out of You (Mulan),Donny Osmond,01:41:35,01:44:53,198,e3A-dtHqZIk
4,I Would Hate Me Too,TX2,01:45:39,01:49:01,202,e3A-dtHqZIk
5,Manchild,Sabrina Carpenter,01:53:50,01:57:15,205,e3A-dtHqZIk
6,Love Me Like There’s No Tomorrow,Freddie Mercury,02:03:33,02:07:13,220,e3A-dtHqZIk
7,All Star,Smash Mouth,02:07:40,02:10:57,197,e3A-dtHqZIk
8,Teenage Dirtbag,Wheatus,02:15:30,02:19:28,238,e3A-dtHqZIk
9,Sk8er Boi,Avril Lavigne,02:22:15,02:25:40,205,e3A-dtHqZIk
10,We’re Not Gonna Take It,Twisted Sister,02:26:02,02:29:41,219,e3A-dtHqZIk
11,"Sugar, We’re Goin Down",Fall Out Boy,02:32:06,02:35:47,221,e3A-dtHqZIk
