ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
536,gSFq4wlUfMQ,1,Bye Bye Bye,NSYNC,00:03:00,180,00:06:21,201
537,gSFq4wlUfMQ,2,Incomplete,Backstreet Boys,00:07:29,449,00:11:24,235
538,gSFq4wlUfMQ,3,Beautiful Soul,Jesse McCartney,00:13:26,806,00:16:49,203
539,gSFq4wlUfMQ,4,I Want It That Way,Backstreet Boys,00:18:10,1090,00:21:43,213
540,gSFq4wlUfMQ,5,Everybody,Backstreet Boys,00:23:15,1395,00:26:58,223
541,gSFq4wlUfMQ,6,It's Gonna Be Me,NSYNC,00:30:00,1800,00:33:13,193
542,gSFq4wlUfMQ,7,Truly Madly Deeply,Savage Garden,00:34:33,2073,00:39:15,282
543,gSFq4wlUfMQ,8,Uptown Girl,Billy Joel,00:42:21,2541,00:45:36,195
544,gSFq4wlUfMQ,9,YMCA,Village People,00:46:05,2765,00:49:50,225
545,gSFq4wlUfMQ,10,Stacy's Mom,Fountains of Wayne,00:52:41,3161,00:55:58,197
546,gSFq4wlUfMQ,11,Vienna,Billy Joel,00:57:42,3462,01:01:10,208
547,gSFq4wlUfMQ,12,Teenage Dirtbag,Wheatus,01:03:12,3792,01:07:13,241
548,gSFq4wlUfMQ,13,Boulevard of Broken Dreams,Green Day,01:08:16,4096,01:12:36,260
549,gSFq4wlUfMQ,14,Under Pressure,Queen & David Bowie,01:13:40,4420,01:17:34,234
550,gSFq4wlUfMQ,15,I'm a Believer,"The Monkees, Neil Diamond",01:19:37,4777,01:22:02,145
551,gSFq4wlUfMQ,16,One Less Lonely Girl,Justin Bieber,01:25:06,5106,01:29:04,238
552,gSFq4wlUfMQ,17,Who's Lovin' You,The Jackson 5,01:31:49,5509,01:35:49,240
