TRACK,TITLE,ARTIST,STARTTIME,ENDTIME,DURATION,VIDEOID
1,Friday,Rebecca Black,00:02:31,00:05:54,203,ihQ7ymy9yyw
2,Friday,Rebecca Black,00:06:08,00:09:34,206,ihQ7ymy9yyw
3,Friday,Rebecca Black,00:09:49,00:13:15,206,ihQ7ymy9yyw
4,Friday (valley girl),Rebecca Black,00:13:30,00:16:55,205,ihQ7ymy9yyw
5,Nyanday,Rebeccat Black,00:17:11,00:20:36,205,ihQ7ymy9yyw
6,Friday,Louis Armstrong and/or Fat Albert,00:20:52,00:24:19,207,ihQ7ymy9yyw
7,Fwiday,Rebwecca Bwack,00:24:33,00:27:57,204,ihQ7ymy9yyw
8,Fri,Rebecca,00:28:14,00:31:40,206,ihQ7ymy9yyw
9,Friday (operatic),Rebecca Black,00:31:54,00:35:20,206,ihQ7ymy9yyw
10,Friday (with emphasis),Rebecca Black,00:35:35,00:39:01,206,ihQ7ymy9yyw
11,Yeahday,Rebecca Black,00:39:17,00:42:41,204,ihQ7ymy9yyw
12,Friendless,Kaminari Clara,00:42:57,00:46:23,206,ihQ7ymy9yyw
13,Boreday,Reborca Bork,00:46:36,00:50:04,208,ihQ7ymy9yyw
14,Friday (spoken word),Rebecca Black,00:50:19,00:53:44,205,ihQ7ymy9yyw
15,Graverobbin' Boys (Friday version),Kaminari Clara,00:54:00,00:57:26,206,ihQ7ymy9yyw
16,Friday,Gnome Rebecca Black,00:57:41,01:01:13,212,ihQ7ymy9yyw
17,Friday,Rebecca Black,01:01:22,01:04:48,206,ihQ7ymy9yyw
