ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
707,kafzvJOIyFk,1,I Touch Myself,Divinyls,00:08:51,531,00:12:43,232
708,kafzvJOIyFk,2,99 Red Balloons,Goldfinger,00:14:39,879,00:18:26,227
709,kafzvJOIyFk,3,When She Loved Me,Sarah McLachlan (toy story 2),00:24:39,1479,00:27:34,175
710,kafzvJOIyFk,4,When I Look At You,The Scarlet Pimpernel,00:29:12,1752,00:33:11,239
711,kafzvJOIyFk,5,The Worst Pies in London,Helena Bonham Carter (Sweeney todd),00:37:20,2240,00:39:50,150
712,kafzvJOIyFk,6,LDN,Lily Allen,00:40:49,2449,00:43:58,189
713,kafzvJOIyFk,7,"Que Sera, Sera",Doris Day,00:45:48,2748,00:47:56,128
714,kafzvJOIyFk,8,The Music of the Night,Andrew Lloyd Webber (Phantom of the opera),00:50:04,3004,00:55:14,310
715,kafzvJOIyFk,9,Milkshake,Kelis,00:57:07,3427,01:00:12,185
716,kafzvJOIyFk,10,MOOO!,Doja Cat,01:01:15,3675,01:05:57,282
717,kafzvJOIyFk,11,Audition,Emma Stone (La La Land),01:08:43,4123,01:12:21,218
718,kafzvJOIyFk,12,Matilda,Harry Styles,01:14:06,4446,01:18:07,241
719,kafzvJOIyFk,13,Like a Star,Corinne Bailey Rae,01:22:00,4920,01:25:59,239
720,kafzvJOIyFk,14,In My Daughter's Eyes,Martina McBride,01:27:23,5243,01:30:35,192
721,kafzvJOIyFk,15,Childhood,Michael Jackson (Free Willy 2),01:31:51,5511,01:36:15,264
722,kafzvJOIyFk,16,Return to Pooh Corner,Kenny Loggins,01:38:02,5882,01:42:18,256
723,kafzvJOIyFk,17,Mentir,Marie-Mai,01:44:16,6256,01:48:08,232
724,kafzvJOIyFk,18,Moi… Lolita,Alizée,01:49:25,6565,01:53:48,263
725,kafzvJOIyFk,19,もう恋なんてしない,Noriyuki Makihara,01:58:07,7087,02:02:38,271
726,kafzvJOIyFk,20,青空のラプソディ,fhána (Dragon maid),02:05:43,7543,02:10:17,274
727,kafzvJOIyFk,21,Still alive,Jonathan Coulton (Portal),02:12:38,7958,02:15:38,180
