ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
1073,r6j0NMWcP9o,1,Playing Favourites,Kaminari Clara,00:03:40,220,00:06:48,188
1074,r6j0NMWcP9o,2,Here You Come Again,Dolly Parton,00:12:04,724,00:15:01,177
1075,r6j0NMWcP9o,3,Tummy Hurts,Reneé Rapp,00:15:28,928,00:18:12,164
1076,r6j0NMWcP9o,4,Again,Janet Jackson,00:22:07,1327,00:25:50,223
1077,r6j0NMWcP9o,5,In My Room,Julia Wolf,00:26:07,1567,00:28:51,164
1078,r6j0NMWcP9o,6,Tears,Sabrina Carpenter,00:31:20,1880,00:33:56,156
1079,r6j0NMWcP9o,7,Cry,Cigarettes After Sex,00:34:08,2048,00:38:15,247
1080,r6j0NMWcP9o,8,No One Noticed,The Marías,00:40:09,2409,00:44:03,234
1081,r6j0NMWcP9o,9,The Cut That Always Bleeds,Conan Gray,00:44:35,2675,00:48:22,227
1082,r6j0NMWcP9o,10,When We Were Young,Adele,00:49:11,2951,00:53:48,277
1083,r6j0NMWcP9o,11,Everybody Supports Women,Sofia Isella,00:54:30,3270,00:58:27,237
1084,r6j0NMWcP9o,12,Yours,Conan Gray,00:59:12,3552,01:02:32,200
1085,r6j0NMWcP9o,13,The Lover After Me,Savage Garden,01:11:23,4283,01:16:04,281
1086,r6j0NMWcP9o,14,It's Not Living (If It's Not With You),The 1975,01:16:17,4577,01:20:20,243
1087,r6j0NMWcP9o,15,All I Ask,Adele,01:21:24,4884,01:25:52,268
1088,r6j0NMWcP9o,16,No Good Deed (Wicked),Idina Menzel,01:27:14,5234,01:30:43,209
1089,r6j0NMWcP9o,17,When I Look At You (The Scarlet Pimpernel),Marguerite,01:30:55,5455,01:34:52,237
1090,r6j0NMWcP9o,18,Hopeless Romantic,Sarah Kang,01:36:25,5785,01:40:50,265
1091,r6j0NMWcP9o,19,Wish U Were Here,Boys Go To Jupiter,01:41:04,6064,01:45:08,244
1092,r6j0NMWcP9o,20,The Show Must Go On,Queen,01:45:18,6318,01:49:25,247
1093,r6j0NMWcP9o,21,Barracuda,Heart,01:50:00,6600,01:52:58,178
1094,r6j0NMWcP9o,22,Love Is a Battlefield,Pat Benatar,01:53:55,6835,01:57:50,235
1095,r6j0NMWcP9o,23,Bad Reputation,Joan Jett & the Blackhearts,01:59:21,7161,02:02:06,165
1096,r6j0NMWcP9o,24,Nauseous,Conan Gray,02:02:11,7331,02:05:55,224
1097,r6j0NMWcP9o,25,When Did You Get Hot?,Sabrina Carpenter,02:06:31,7591,02:08:50,139
1098,r6j0NMWcP9o,26,The Subway,Chappell Roan,02:09:27,7767,02:13:31,244
1099,r6j0NMWcP9o,27,Pink Pony Club,Chappell Roan,02:13:42,8022,02:18:03,261
1100,r6j0NMWcP9o,28,I Touch Myself (Phase girls ver?),Divinyls,02:18:33,8313,02:22:22,229
1101,r6j0NMWcP9o,29,Come on Over Baby (All I Want Is You),Christina Aguilera,02:22:41,8561,02:25:58,197
1102,r6j0NMWcP9o,30,Ave Maria,Franz Schubert,02:27:28,8848,02:31:54,266
