TRACK,TITLE,ARTIST,STARTTIME,ENDTIME,DURATION,VIDEOID
1,Sorry Haha I Fell Asleep,Egg,00:15:21,00:18:11,170,uCnOXN_JucI
2,Call Me Little Sunshine,Ghost,00:21:18,00:25:04,226,uCnOXN_JucI
3,Here You Come Again,Dolly Parton,00:25:49,00:28:48,179,uCnOXN_JucI
4,Take My Breath Away,Berlin,00:31:41,00:36:01,260,uCnOXN_JucI
5,The Ketchup Song (Aserejé) [Spanglish Version],Las Ketchup,00:39:55,00:43:05,190,uCnOXN_JucI
6,Angel,Shaggy ft. Rayvon,00:49:20,00:53:16,236,uCnOXN_JucI
7,For the First Time in Forever,Frozen,00:54:52,00:58:32,220,uCnOXN_JucI
8,Man! I Feel Like a Woman!,Shania Twain,01:01:01,01:04:55,234,uCnOXN_JucI
9,Labyrinth - As the World Falls Down,David Bowie,01:10:20,01:15:04,284,uCnOXN_JucI
10,Moon & Sunrise,BoA,01:27:42,01:32:48,306,uCnOXN_JucI
11,Moonlight Densetsu [French version],Sailor Moon,01:37:27,01:41:04,217,uCnOXN_JucI
12,Time After Time,Cyndi Lauper,01:45:22,01:49:16,234,uCnOXN_JucI
13,Skyfall,Adele (Clara version),01:49:22,01:54:05,283,uCnOXN_JucI
14,Edge Me Till I Goon,Rizz Records,01:56:28,01:58:49,141,uCnOXN_JucI
15,Mabataki,Back Number,01:59:06,02:04:30,324,uCnOXN_JucI
16,Dia de Enero,Shakira,02:06:17,02:09:06,169,uCnOXN_JucI
