TRACK,TITLE,ARTIST,STARTTIME,ENDTIME,DURATION,VIDEOID
1,It's Time To Take a Shit on the Company’s Dime,Unknown Artist,00:37:28,00:39:45,137,x1zOL_6AEQ8
2,Fucked by a Country Boy,"Wheeler Walker, Jr.",00:43:03,00:45:39,156,x1zOL_6AEQ8
3,Down to the River to Pray,Alison Krauss,00:52:36,00:55:30,174,x1zOL_6AEQ8
4,Bad Oppa 오빠나빠,SNSD,01:02:42,01:06:29,227,x1zOL_6AEQ8
5,Candy Mountain Cave,Charlie the unicorn,01:10:30,01:11:14,44,x1zOL_6AEQ8
6,Foux Du Fafa,Flight Of The Conchords,01:12:21,01:15:05,164,x1zOL_6AEQ8
7,I'm blue,Eiffel 65,01:17:24,01:22:06,282,x1zOL_6AEQ8
8,"Whenever, Wherever",Shakira,01:23:14,01:26:28,194,x1zOL_6AEQ8
9,Oops!…I Did It Again,Britney Spears,01:30:00,01:33:31,211,x1zOL_6AEQ8
10,"Good Luck, Babe!",Chappell Roan,01:35:36,01:39:10,214,x1zOL_6AEQ8
11,Part of Your World (Japanese Version),The Little Mermaid,01:42:01,01:45:10,189,x1zOL_6AEQ8
12,Friend Like Me,Aladdin,01:47:34,01:50:01,147,x1zOL_6AEQ8
13,So in Love,"Kiss Me, Kate",01:51:53,01:56:11,258,x1zOL_6AEQ8
14,"Good Girl, Winnie Foster",Tuck everlasting,01:57:33,02:00:31,178,x1zOL_6AEQ8
15,Little Miss Perfect,Write Out Loud,02:00:56,02:04:12,196,x1zOL_6AEQ8
16,Moon River,Breakfast at Tiffany's,02:06:36,02:10:12,216,x1zOL_6AEQ8
17,Rolling in the Deep,Adele,02:13:24,02:17:09,225,x1zOL_6AEQ8
18,Unchained Melody,The Righteous Brothers,02:20:01,02:23:39,218,x1zOL_6AEQ8
19,"Suddenly, Seymour",Little shop of horrors,02:25:25,02:28:48,203,x1zOL_6AEQ8
