TRACK,TITLE,ARTIST,STARTTIME,ENDTIME,DURATION,VIDEOID
1,Espresso,Sabrina Carpenter,00:20:32,00:23:25,173,xPl62QMvBPY
2,King of Wishful Thinking,Go West,00:28:06,00:32:18,252,xPl62QMvBPY
3,Put Your Head on My Shoulder,Paul Anka,00:37:07,00:39:44,157,xPl62QMvBPY
4,HOT TO GO!,Chappell Roan,00:43:22,00:46:26,184,xPl62QMvBPY
5,Taste,Sabrina Carpenter,00:49:10,00:51:53,163,xPl62QMvBPY
6,Strong Enough,Cher,00:54:50,00:58:38,228,xPl62QMvBPY
7,The Anthem,Good Charlotte,01:02:26,01:05:20,174,xPl62QMvBPY
8,End of the World,Miley Cyrus,01:09:23,01:13:35,252,xPl62QMvBPY
9,APT.,ROSÉ & Bruno Mars,01:14:59,01:17:43,164,xPl62QMvBPY
10,Copacabana (At the Copa),Barry Manilow,01:19:00,01:22:45,225,xPl62QMvBPY
11,I Touch Myself,Divinyls,01:22:55,01:26:45,230,xPl62QMvBPY
12,"Bills, Bills, Bills",Destiny's Child,01:26:52,01:30:38,226,xPl62QMvBPY
13,Candy Shop,50 Cent and Olivia,01:34:10,01:37:33,203,xPl62QMvBPY
14,The Ultimate Showdown,Lemon Demon,01:37:36,01:41:13,217,xPl62QMvBPY
15,WAP,Cardi B and Megan Thee Stallion,01:41:24,01:44:33,189,xPl62QMvBPY
16,Die With A Smile,Lady Gaga and Bruno Mars,01:46:32,01:50:38,246,xPl62QMvBPY
17,Lovers Always Lose,Boys Go To Jupiter,01:52:15,01:57:12,297,xPl62QMvBPY
18,Kaleidoscope,Chappell Roan,01:57:56,02:01:36,220,xPl62QMvBPY
19,Ahoy!! 我ら宝鐘海賊団☆ [Ahoy!! We are Houshou Pirates☆],Houshou Marine [宝鐘マリン],02:01:53,02:06:55,302,xPl62QMvBPY
20,Playing Favourites,Kaminari Clara,02:08:47,02:11:52,185,xPl62QMvBPY
21,ビリビリ Be with U,Kaminari Clara,02:12:05,02:16:35,270,xPl62QMvBPY
22,Don't Stop Me Now,Queen,02:16:50,02:20:29,219,xPl62QMvBPY
23,Call Me (Theme From American Gigolo),Blondie,02:20:44,02:24:10,206,xPl62QMvBPY
24,Who’s Lovin’ You,The Jacksons,02:24:23,02:28:22,239,xPl62QMvBPY
25,Me & Mr Jones,Amy Winehouse,02:29:27,02:31:57,150,xPl62QMvBPY
26,Yellow,Coldplay,02:32:08,02:36:31,263,xPl62QMvBPY
27,Close to You,Carpenters,02:38:53,02:42:44,231,xPl62QMvBPY
28,Here You Come Again,Dolly Parton,02:44:06,02:47:05,179,xPl62QMvBPY
29,Turn Me On,Nina Simone,02:48:54,02:51:22,148,xPl62QMvBPY
30,Juice,Lizzo,02:52:43,02:55:57,194,xPl62QMvBPY
31,Ave Maria,Franz Schubert,02:57:00,03:01:27,267,xPl62QMvBPY
