TRACK,TITLE,ARTIST,STARTTIME,ENDTIME,DURATION,VIDEOID
1,Yellow,Coldplay,00:47:17,00:51:41,264,yPa3NWKN-C0
2,The Scientist,Coldplay,00:52:35,00:57:42,307,yPa3NWKN-C0
3,Viva La Vida,Coldplay,00:59:31,01:03:37,246,yPa3NWKN-C0
4,Clocks,Coldplay,01:04:32,01:09:46,314,yPa3NWKN-C0
5,Pink Pony Club,Chappell Roan,01:13:58,01:18:20,262,yPa3NWKN-C0
6,Red Wine Supernova,Chappell Roan,01:19:39,01:22:53,194,yPa3NWKN-C0
7,"Good Luck, Babe!",Chappell Roan,01:23:35,01:27:10,215,yPa3NWKN-C0
8,Femininomenon,Chappell Roan,01:28:17,01:31:56,219,yPa3NWKN-C0
9,Psycho,Mia Rodriguez,01:36:58,01:40:02,184,yPa3NWKN-C0
10,Careless Whisper,George Michael,01:42:12,01:46:47,275,yPa3NWKN-C0
11,Just the Two of Us,Grover Washington Jr. feat. Bill Withers,01:49:18,01:53:12,234,yPa3NWKN-C0
12,Rainy Days And Mondays,Carpenters,01:55:07,01:58:42,215,yPa3NWKN-C0
13,Unchained Melody,The Righteous Brothers,02:01:36,02:05:16,220,yPa3NWKN-C0
14,As The World Falls Down,David Bowie,02:09:56,02:14:45,289,yPa3NWKN-C0
15,California Gurls,Katy Perry ft. Snoop Dogg,02:16:28,02:20:25,237,yPa3NWKN-C0
16,From This Moment On,Shania Twain,02:22:57,02:26:59,242,yPa3NWKN-C0
17,The Way We Were,Barbra Streisand,02:27:48,02:31:16,208,yPa3NWKN-C0
